pair_id,u_issue,u_reporter,u_author,u_state,u_nfiles,u_total,u_nadd,u_ndel,d_issue,d_reporter,d_author,d_state,d_nfiles,d_total,d_nadd,d_ndel,ref_author
pair_66,joblib/joblib#192,lesteve,GaelVaroquaux,closed,10,99,88,11,scikit-learn/scikit-learn#3596,ogrisel,ogrisel,closed,8,103,68,35,lesteve
pair_67,joblib/joblib#198,dave1g,,open,,,,,scikit-learn/scikit-learn#4430,dave1g,,closed,,,,,dave1g
pair_68,joblib/joblib#214,ogrisel,lesteve,closed,3,42,37,5,scikit-learn/scikit-learn#4597,DonBeo,amueller,closed,2,41,35,6,ogrisel
pair_69,joblib/joblib#258,mfrodl,lesteve,closed,2,28,27,1,scikit-learn/scikit-learn#5412,amueller,,closed,,,,,mfrodl
pair_70,joblib/joblib#44,ogrisel,ogrisel,closed,1,7,1,6,scikit-learn/scikit-learn#1142,ogrisel,,closed,,,,,ogrisel
pair_71,joblib/joblib#44,ogrisel,ogrisel,closed,1,7,1,6,scikit-learn/scikit-learn#998,buma,,closed,,,,,ogrisel
pair_72,joblib/joblib#51,abhirk,,closed,,,,,scikit-learn/scikit-learn#1414,abhirk,,closed,,,,,abhirk
pair_73,joblib/joblib#57,lsartran,,open,,,,,scikit-learn/scikit-learn#4127,wizeman,,closed,,,,,wizeman
pair_74,joblib/joblib#66,mblondel,,open,,,,,scikit-learn/scikit-learn#1414,abhirk,,closed,,,,,ogrisel
pair_75,joblib/joblib#75,dohmatob,ogrisel,closed,2,17,15,2,scikit-learn/scikit-learn#1565,amueller,ogrisel,closed,6,107,92,15,ogrisel
pair_76,liberfa/erfa#4,taldcroft,,closed,,,,,astropy/astropy#1031,taldcroft,eteq,closed,3,5810,5256,554,eteq
pair_77,mathjax/MathJax#795,eteq,,open,,,,,astropy/astropy#2286,eteq,mdboom,closed,1,3,2,1,eteq
pair_88,matplotlib/matplotlib#4855,mdboom,mdboom,closed,1,22,19,3,astropy/astropy#4030,mdboom,embray,closed,2,10,8,2,mdboom
pair_89,nose-devs/nose#58,jpellerin,,open,,,,,scipy/scipy#4741,argriffing,pv,closed,2,62,61,1,rgommers
pair_91,numpy/numpy#2056,thouis,charris,closed,2,23,22,1,scipy/scipy#3354,josef-pkt,,closed,,,,,josef-pkt
pair_92,numpy/numpy#2432,numpy-gitbot,mdboom,closed,1,3,1,2,astropy/astropy#465,astrofrog,,closed,,,,,mdboom
pair_94,numpy/numpy#2655,numpy-gitbot,,closed,,,,,scipy/scipy#3330,ev-br,"rgommers,pv",closed,1,6,208,134,pv
pair_95,numpy/numpy#2694,seberg,njsmith,closed,13,331,154,177,scikit-learn/scikit-learn#1406,erg,glouppe,closed,4,2957,1760,1197,seberg
pair_97,numpy/numpy#2747,mdboom,njsmith,closed,2,15,13,2,astropy/astropy#465,astrofrog,,closed,,,,,mdboom
pair_98,numpy/numpy#2770,GaelVaroquaux,njsmith,closed,13,222,193,29,scikit-learn/scikit-learn#1406,erg,glouppe,closed,4,2957,1760,1197,GaelVaroquaux
pair_105,numpy/numpy#3399,WarrenWeckesser,charris,closed,1,18,9,9,scipy/scipy#2682,cowlicks,,closed,,,,,WarrenWeckesser
pair_107,numpy/numpy#3491,jayvius,charris,closed,3,97,77,20,scipy/scipy#2890,cgohlke,pv,closed,2,6,0,6,ewmoore
pair_109,numpy/numpy#3761,jayvius,charris,closed,2,28,21,7,scipy/scipy#2890,cgohlke,pv,closed,2,6,0,6,jayvius
pair_110,numpy/numpy#3768,charris,juliantaylor,closed,3,19,16,3,scipy/scipy#2890,cgohlke,pv,closed,2,6,0,6,charris
pair_111,numpy/numpy#3793,juliantaylor,charris,closed,2,85,48,37,scipy/scipy#2930,juliantaylor,,closed,,,,,juliantaylor
pair_112,numpy/numpy#3796,charris,charris,closed,2,40,35,5,scipy/scipy#2890,cgohlke,pv,closed,2,6,0,6,charris
pair_115,numpy/numpy#3907,mhvk,charris,closed,3,251,147,104,astropy/astropy#2701,astrofrog,,closed,,,,,mhvk
pair_117,numpy/numpy#4012,ankit-maverick,,closed,,,,,scikit-learn/scikit-learn#2560,agramfort,agramfort,closed,2,16,15,1,ankit-maverick
pair_123,numpy/numpy#4463,abalkin,charris,closed,2,46,37,9,scipy/scipy#3554,bjodah,charris,closed,4,97,61,36,rgommers
pair_124,numpy/numpy#4494,embray,juliantaylor,closed,1,1,1,0,astropy/astropy#1987,astrofrog,,closed,,,,,embray
pair_125,numpy/numpy#4564,mhvk,,open,,,,,astropy/astropy#2251,mhvk,mdboom,closed,3,91,90,1,mhvk
pair_126,numpy/numpy#4586,mhvk,charris,closed,4,169,151,18,astropy/astropy#3848,mhvk,,closed,,,,,mhvk
pair_128,numpy/numpy#4602,cgohlke,charris,closed,1,2,1,1,scipy/scipy#3306,cgohlke,rgommers,closed,2,22,14,8,cgohlke
pair_129,numpy/numpy#4627,rgommers,,closed,,,,,scipy/scipy#3554,bjodah,charris,closed,4,97,61,36,rgommers
pair_130,numpy/numpy#4655,foogod,,closed,,,,,scipy/scipy#3596,foogod,pv,closed,1,26,22,4,foogod
pair_131,numpy/numpy#4656,foogod,charris,closed,2,60,57,3,scipy/scipy#3596,foogod,pv,closed,1,26,22,4,foogod
pair_132,numpy/numpy#4681,seberg,charris,closed,1,8,0,8,astropy/astropy#2960,astrofrog,,closed,,,,,mhvk
pair_133,numpy/numpy#4709,mdboom,,open,,,,,astropy/astropy#2483,astrofrog,astrofrog,closed,3,34,33,1,mdboom
